year,country_name,gdp,hte,hdi,gr_cap,labor,sec_srv,mob_sub,ter_enr,sci_art,pop,infl,ict_exp,edu_exp,fdi,trade,inet_usr,rnd_exp,p_a,cc,ge,pv,rl,rq,va,foreign_assets,new_business_density,innovation_score,competitiveness_score,ctfp,cwtfp,economic_freedom
1971,Bahrain,1469195261,,,,,,,1,,230733,5.799648574,,3390623615,,,,,,,,,,,,49539000,,,,,,
2013,Ecuador,96856622000,78368915,0.755,2.32E+12,6882742,30.49257272,106,40,262,15807128,2.66686728,125695915,4.78E+11,72923667812,6.14E+12,637027258,36246653360,7,-0.502911985,-0.448586315,-0.178656712,-0.870363593,-0.83761102,-0.252790272,10645402101,,32.83,43,0.455723971,0.439171731,46.9
1972,Bahrain,1631865386,,,,,,,1,,242113,5.211399752,,3302781430,,,,,,,,,,,,53229475,,,,,,
2012,Ecuador,90341857000,55266062,0.75,2E+12,6757347,23.82451696,106,39,245,15572194,5.003235908,143852476,4.2E+11,58427656730,6.05E+12,546584009,30091065188,,-0.508597851,-0.474284679,-0.57030648,-1.063925147,-0.943592429,-0.296114117,9953416962,,28.5,43.3,0.429402322,0.414069384,48.3
1973,Bahrain,1859087149,,,,,,,1,,255320,13.9800997,,,830459316,,,,,,,,,,,42432475,,,,,,
2011,Ecuador,85402830000,59881532,0.743,1.79E+12,6540161,13.76725009,101,,171,15326227,6.83751223,159548564,4.05E+11,69856658130,5.98E+12,481243528,29135174259,,-0.641708136,-0.527820349,-0.686557531,-1.144285321,-0.956343532,-0.293364823,9007646492,,28.75,,0.418941736,0.403641909,47.1
1974,Bahrain,2016593144,,,,,,,2,,269038,24.68541636,,,21284798,,,,,,,,,,,93985163,,,,2.05865097,1.820398927,
2010,Ecuador,78725726000,146115718,0.737,1.55E+12,6489520,10.5460779,99,,192,15076695,9.013717386,161897970,3.62E+11,19163341748,5.18E+12,437224155,32377528781,4,-0.70774436,-0.674511254,-0.586674452,-1.143229127,-1.12405169,-0.23108083,8237938887,,,,0.397285491,0.391728252,49.3
1975,Bahrain,1838430625,,,,,,,2,,283243,15.90579938,,,220790797,,,,,,,,,,,141072691,,,,1.74775672,1.413040519,
2009,Ecuador,75676611000,53152326,0.731,1.37E+12,6478792,,90,,180,14825954,-2.769125949,169475977,3.42E+11,38865251187,4.34E+12,364718468,31069032495,6,-0.744574428,-0.738012195,-0.673675776,-1.205040216,-1.259179473,-0.250357389,8752663138,,,,0.39767462,0.389235348,52.5
1976,Bahrain,2398716211,,,,,,,2,,297863,10.32237187,,,486807404,,,,,,,,,,,161984862,,,,1.956541657,2.01589036,
2008,Ecuador,74859880000,80058801,0.729,1.31E+12,6581958,,81,38,154,14575202,15.09411601,196026955,,1.29E+11,5.58E+12,274013798,17226007361,2,-0.654705822,-0.854377806,-0.728682399,-1.105306387,-1.127548575,-0.222304702,9373233517,,,,0.427071601,0.402923644,55.2
1977,Bahrain,2710972682,,,,,,,3,,312823,11.29760305,,,88591193,,,,,,,,,,,166652062,,,,1.728021264,1.768903852,
2007,Ecuador,70248145000,,0.722,1.16E+12,6449993,,70,,143,14328773,7.063421717,97185000,,27321030574,4.84E+12,154750748,9484202337,4,-0.74563235,-0.86144954,-0.815987229,-1.032861471,-1.136937976,-0.161115885,7902435607,,,,0.412744999,0.381485045,55.3
1978,Bahrain,2815677729,,,,,,,3,,328046,7.687121282,,,2846669263,,,,,,,,,,,209625428,,,,1.757271171,1.579097152,
2006,Ecuador,68936674000,,0.718,1.14E+12,6409972,,61,,135,14086131,8.716585829,75561690,,40952265835,4.54E+12,101420143,9083096235,8,-0.784096122,-1.037939191,-0.853825331,-1.031002641,-1.098829389,-0.253862709,6187362245,,,,0.409401834,0.375234187,54.6
1979,Bahrain,2913361136,,,,,,,3,,343457,13.51222783,,,15605610254,,,,,,,,,,,232609260,,,,1.385217071,1.658501267,
2005,Ecuador,66068551000,,0.714,1.08E+12,6169877,,45,,133,13846163,8.582991269,80074903,,80933636308,4.09E+12,82938516,,11,-0.735878944,-0.967794538,-0.793961823,-0.821377993,-0.777636588,-0.363743484,5121817943,,,,0.405171752,0.374358296,52.9
1980,Bahrain,2988533990,,,80998325703,,,,3,,358978,24.15808159,,,-35757773358,6.29E+11,,,,,,,,,,443285048,,,,1.547613502,1.826907516,
2004,Ecuador,62684454000,,0.709,9.89E+11,6069723,,26,,94,13608701,6.390619971,100357626,,1.49E+11,3.52E+12,65730026,,14,-0.726669908,-0.957234144,-0.842910349,-0.76489985,-0.699335694,-0.244635746,3661662783,,,,0.390483499,0.369213969,54.4
2003,Ecuador,58675510000,,0.703,9.06E+11,5740735,,18,,99,13372306,11.24727984,102775555,,1.65E+11,3.07E+12,59640485,3524637944,7,-0.728124201,-0.936161399,-0.96105659,-0.780572593,-0.723995984,-0.121541075,2738417860,,,,0.386991143,0.372364223,54.1
1981,Bahrain,2829642682,,,72620556524,,,,5,,373524,18.91176502,,,297811081,6.25E+11,,,1,,,,,,,800415770,,,,1.327683806,1.611124754,
2002,Ecuador,57030466000,,0.698,9.53E+11,5554493,,12,,91,13138472,11.48656242,97704378,,1.65E+11,3.13E+12,55969891,3330579271,13,-0.868261039,-0.831196308,-0.759720922,-0.756515443,-0.729014635,-0.04498877,1958336766,,,,0.400004238,0.397413254,53.1
1982,Bahrain,2615828721,,,75839428683,,,,6,,386983,13.72399414,,,1795711592,5.19E+11,,,,,,,,,,811467147,,,,1.080528378,1.388184309,
2001,Ecuador,54351950000,,0.691,8.31E+11,5375291,,7,,60,12910740,26.59821678,96063930,,1.27E+11,3.05E+12,34471676,2961094290,7,,,,,,,293378319,,,,0.396139711,0.38999182,55.1
1983,Bahrain,2782623816,,,1E+11,,,,,,400707,-3.689967138,,,4199507102,4.64E+11,,,,,,,,,,857571121,,,,1.022381425,1.379393101,
2000,Ecuador,52158041000,,0.683,7.83E+11,5202036,,4,,74,12689206,-11.68345093,61000000,62728387764,-6970293727,3.41E+12,18526241,,10,-0.799629569,-0.685290277,-0.572284937,-0.666360259,-0.452023268,-0.247218117,1214556663,,,,0.405108124,0.376955003,59.8
1984,Bahrain,2921856463,,,1.13E+11,,,,,,415154,-0.418480087,,,9256742828,4.89E+11,,,,,,,,,,864200920,,,,0.998334169,1.359639168,
1999,Ecuador,51594728900,,0.682,6.6E+11,5202562,,3,,67,12470795,-26.29999278,64200000,79834589622,1.7E+11,2.54E+12,10263464,,15,,,,,,,741063118,,,,0.412306964,0.391823083,62.9
1985,Bahrain,2782826686,,,82631382485,,,,9,,430358,-1.824994533,,,6790887990,4.69E+11,,,,,,,,,,1096049713,,,,0.543746352,0.872948289,
1998,Ecuador,54161658900,,0.684,8.06E+11,5196031,,2,,95,12251184,-3.782679181,85000000,1.19E+11,1.68E+11,2.35E+12,1531398,3529715202,,-0.791844785,-0.35470736,-0.162388325,-0.539550304,-0.064743273,0.114651591,728267533,,,,0.43031469,0.448159397,62.8
1986,Bahrain,2815747356,,,79854976800,,,0,9,,446286,-17.39265031,,,-2589191358,4.54E+11,,,,,,,,,,1130791917,,,,0.66218698,0.78442806,
1997,Ecuador,52448416000,,0.682,7.02E+11,4912617,,1,18,100,12031127,7.006173049,96000000,,1.35E+11,2.36E+12,1323424,3284844189,8,,,,,,,1117013821,,,,0.456848145,0.461893111,61
1987,Bahrain,3108557187,,,61583690082,,,0,7,,462854,0.659048459,,,-2893768938,5.19E+11,,,,,,,,,,1014781106,,,,0.690962911,0.740359545,
1996,Ecuador,50272682300,,0.677,6.61E+11,4740530,,1,,57,11810950,1.490154703,77000000,,99579252948,2.22E+12,1018104,3723194851,7,-0.684873819,-0.475311697,-0.77003324,-0.449707776,-0.308270067,0.013284295,1000464488,,,,0.457420826,0.453508496,60.1
1988,Bahrain,3326155930,,,56546205709,,,1,10,,479929,2.009427714,,,17545924106,5.06E+11,,,,,,,,,,1194138226,,,,0.813335359,0.799058139,
1995,Ecuador,49416906200,,0.672,6.72E+11,4629233,,0,18,,11590514,5.222553354,87000000,98717189193,91516667901,2.27E+12,507665,,8,,,,,,,700862665,,,,0.478031307,0.487975955,57.7
1989,Bahrain,3338263375,,,58163837176,,,1,,,497327,3.97466041,,,13742671743,5.47E+11,,,,,,,,,,1345284187,,,,0.789383829,0.873590767,
1990,Bahrain,3486415410,,0.734,58030573195,226993,,1,,,514797,4.826695552,,,6651344770,6.44E+11,,,,,,,,,,1119419418,,,,0.871513844,0.823990941,
1991,Bahrain,3877939818,,0.728,67494865829,221644,,1,16,,503052,-1.882524002,,,45762894466,6.16E+11,,,,,,,,,,1024709891,,,,0.832350969,0.961183727,
1992,Bahrain,4137373928,,0.728,78663982738,228502,,2,16,,516458,-3.532652872,,,66524227774,6.59E+11,,,,,,,,,,916235814,,,,0.831426322,0.986957252,
1993,Bahrain,4669854228,,0.732,95401378893,235398,,2,17,,530225,-3.025814768,,,-21718412288,6.76E+11,,,,,,,,,,917537476,,,,0.867720485,0.843483031,
1994,Bahrain,4658179524,,0.732,81703012103,242849,,3,15,,544366,7.331187444,,,15322985493,6.36E+11,,,,,,,,,,893387844,,,,0.861312509,0.80122602,
2025,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6
2024,El Salvador,,247046197,,,2890348,,,,,,,,,,,,,,,,,,,,2271061015,,20.61232354,43.29887885,,,54.4
2023,El Salvador,27909713500,296585304,0.678,6.15E+11,2854017,181.7857926,,32,,6309624,2.728845023,422683011,88534912700,52357309095,2.26E+12,427161545,,,-0.56131506,0.050439022,0.0023324,-0.369357318,-0.307905406,-0.474436671,1454455881,,21.79836798,43.76193349,,,56
1960,Bangladesh,2.21E+12,,,,,,,,,51828660,,,,,4.27E+13,,,,,,,,,,,,,,,,
2022,El Salvador,26963047100,414452908,0.674,5.85E+11,2806629,173.3988353,182,31,55,6280319,7.143242839,387473330,87800849522,863523427,2.38E+12,411360894,3850323207,,-0.642525256,-0.321259052,-0.352474838,-0.74221772,-0.46272406,-0.371244878,980628799,,19.8844453,42.79419044,,,59.6
2021,El Salvador,26228759300,348626313,0.663,5.52E+11,2739437,154.2572935,175,30,33,6255782,4.142074686,323900389,93837585200,72287771623,2.15E+12,386607328,4262698119,2,-0.553710938,-0.341824085,-0.091492087,-0.866383195,-0.363843024,-0.060513262,2195998924,,25.01493064,45.11804109,,,61
1961,Bangladesh,2.34E+12,,,,,,,,,53310348,6.257481579,,,,5.26E+13,,,,,,,,,,,,,,,,
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,15.25,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,24.85,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,15.25,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,24.85,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,15.25,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,24.85,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,15.25,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,24.85,44.72778142,,,61.6
2020,El Salvador,23438465800,228122461,0.66,4.09E+11,2606548,140.5045621,158,31,19,6234673,0.653512319,236306498,85805412764,36353528897,1.56E+12,340413146,3820235634,4,-0.577636421,-0.261266619,-0.114992231,-0.777085423,-0.08524321,0.0697046,2750831046,0.42763451,34.45,44.72778142,,,61.6
2019,El Salvador,25447025300,230311118,0.67,4.52E+11,2732360,97.71278164,166,28,26,6222318,0.848014701,243677932,86191873737,65913996713,1.94E+12,314227059,4447376561,1,-0.537863314,-0.531079948,-0.120228313,-0.866013646,-0.037950449,0.117883883,3097008057,0.635631557,24.89,40.22909621,,,61.8
1962,Bangladesh,2.47E+12,,,,,,,,,54881146,0.022223496,,,,5.32E+13,,,,,,,,,,,,,,,,
2018,El Salvador,24841520300,277843373,0.67,4.27E+11,2664978,93.57203527,150,28,47,6219807,1.716263087,218200218,89572313908,39403738416,1.88E+12,272427547,4106551597,3,-0.58643496,-0.489993751,-0.38915965,-0.930314422,-0.016186897,0.028985543,2402811147,0.575749743,25.11,39.98863488,,,63.2
2017,El Salvador,24256349400,251239528,0.665,3.89E+11,2658834,63.24904044,151,27,30,6213533,0.986566456,204490986,90360479966,48922255495,1.8E+12,210017415,4385062699,4,-0.534349263,-0.387301892,-0.263820261,-0.87329191,-0.169971138,0.15420197,2328675055,0.526951781,26.68,40.48717302,,,64.1
1963,Bangladesh,2.46E+12,,,,,,,,,56504402,5.164059022,,,,5.32E+13,,,,,,,,,,,,,,,,
2016,El Salvador,23723143500,223937538,0.666,3.67E+11,2645808,53.38020901,154,27,29,6200800,0.657746207,184310109,90746714998,47018803451,1.73E+12,179823200,3438195306,4,-0.556168318,-0.343923271,-0.104568757,-0.757978737,-0.050619148,0.188607335,1608602209,0.548235857,26.56,39.8,,,65.1
2016,El Salvador,23723143500,223937538,0.666,3.67E+11,2645808,53.38020901,154,27,29,6200800,0.657746207,184310109,90746714998,47018803451,1.73E+12,179823200,3438195306,4,-0.556168318,-0.343923271,-0.104568757,-0.757978737,-0.050619148,0.188607335,1608602209,0.548235857,26.56,40.3,,,65.1
2016,El Salvador,23723143500,223937538,0.666,3.67E+11,2645808,53.38020901,154,27,29,6200800,0.657746207,184310109,90746714998,47018803451,1.73E+12,179823200,3438195306,4,-0.556168318,-0.343923271,-0.104568757,-0.757978737,-0.050619148,0.188607335,1608602209,0.548235857,26.56,39.8,,,65.1
2016,El Salvador,23723143500,223937538,0.666,3.67E+11,2645808,53.38020901,154,27,29,6200800,0.657746207,184310109,90746714998,47018803451,1.73E+12,179823200,3438195306,4,-0.556168318,-0.343923271,-0.104568757,-0.757978737,-0.050619148,0.188607335,1608602209,0.548235857,26.56,40.3,,,65.1
1964,Bangladesh,2.73E+12,,,,,,,,,58178374,-8.743224624,,,,6.59E+13,,,,,,,,,,,,,,,,
2015,El Salvador,23135713300,208807068,0.667,3.63E+11,2591980,46.25080615,150,27,25,6183676,1.307617777,184003059,90457860936,48815847118,1.77E+12,165722517,3319512214,7,-0.447838724,-0.285931021,-0.020496048,-0.61680752,0.067986883,0.152256042,1402995190,0.538750732,29.31,39.1,,,65.7
1965,Bangladesh,2.77E+12,,,,,,,,,59902519,7.931704957,,,,6.38E+13,,,,,,,,,,,,,,,,
2014,El Salvador,22593470000,226164854,0.668,3.49E+11,2591567,35.04812221,148,27,19,6162955,0.993230855,170620342,86401046472,50629597028,1.76E+12,152841284,2118589614,,-0.375204563,-0.025264136,-0.024590004,-0.469334871,0.222213238,0.152574793,1581107047,0.525871515,29.08,39.9,,,66.2
1966,Bangladesh,2.85E+12,,,,,,,,,61669806,6.296188834,,,,6.54E+13,,,,,,,,,,,,,,,,
2013,El Salvador,22209381000,227691500,0.668,3.89E+11,2605139,28.507019,145,28,15,6138839,0.631311695,146513797,84428741288,24761429278,1.79E+12,141807181,1418513120,,-0.349343956,-0.121620633,-0.033658903,-0.637214184,0.227205575,-0.01314757,1848374216,0.509132126,31.32,40.5,,,66.7
1967,Bangladesh,2.79E+12,,,,,,,,,63510929,14.79196345,,,,6.11E+13,,,,,,,,,,,,,,,,
2012,El Salvador,21734918100,225446747,0.666,3.61E+11,2554561,22.73480019,140,28,20,6113975,2.475549963,159065834,80689579655,43714124921,1.69E+12,124113692,738335124,,-0.412512779,-0.134835929,0.234583974,-0.728603363,0.22834833,-0.040193725,2738727599,0.481828122,29.5,37.1,,,68.7
1968,Bangladesh,3.06E+12,,,,,,,,,65408276,-5.769584381,,,,6.1E+13,,,,,,,,,,,,,,,,
2011,El Salvador,21124894500,238654078,0.662,3.44E+11,2492794,16.25581864,136,27,18,6090127,5.953343155,146484825,82356246627,12757975428,1.67E+12,115103400,749933776,,-0.247806415,-0.109997876,0.111001194,-0.751709402,0.403908849,0.043949775,2434425392,0.468948549,29.14,,,,68.8
1969,Bangladesh,3.09E+12,,,,,,,,,67294133,11.8277158,,,,6.12E+13,,,,,,,,,,,,,,,,
2010,El Salvador,20356716500,235605824,0.66,3E+11,2471139,13.84254338,126,26,20,6068249,2.597920515,168872875,82405616258,-12486935970,1.5E+12,96485159,1589045310,,-0.258609384,-0.012319415,0.058842227,-0.865749896,0.337437302,0.071544565,3201916776,0.49618501,,,,,69.9
1970,Bangladesh,3.27E+12,,,,,,,2,,69058894,0.510309049,,,,6.81E+13,,,,,,,,,,,,,,,,
2009,El Salvador,19927440500,177794297,0.653,3.02E+11,2459601,,124,26,15,6048279,-0.03389534,137040000,92851911441,41745277616,1.32E+12,73184176,1811404262,,-0.230227888,-0.074613519,-0.007116277,-0.783321619,0.283810049,0.057646669,2928187580,0.479940414,,,,,69.8
2008,El Salvador,20356716500,200722855,0.653,3.8E+11,2448227,,115,25,20,6029297,3.502299097,150660000,90752478464,1.02E+11,1.64E+12,60895900,2727596546,,-0.411013573,-0.211958438,0.039393112,-0.694341421,0.150920913,0.112083875,2149808999,0.502004448,,,,,68.5
1971,Bangladesh,3.09E+12,,,,,,,,,70276758,2.963254932,,,,5.26E+13,,,,,,,,,,,,,,,,
2007,El Salvador,19927400000,188505755,0.653,3.69E+11,2437329,,102,25,15,6009824,4.39535755,153930000,71934923495,1.82E+11,1.55E+12,36720025,2104333420,,-0.423062176,-0.259199172,-0.007270731,-0.722936034,0.087128989,0.094508938,2209312867,0.56483153,,,,,68.9
1972,Bangladesh,2.66E+12,,,,,,,2,,71641519,4.402019652,,,3807103720,5.16E+13,,,,,,,,,,,,,,,,
2006,El Salvador,19565900000,,0.647,3.3E+11,2397018,,64,23,19,6002319,4.332692267,118400000,68343297441,29487236891,1.44E+12,33012754,,,-0.335918337,-0.217000455,-0.168158025,-0.691741586,-0.073802739,0.096629858,1427659611,0.525176655,,,,,69.6
1973,Bangladesh,2.75E+12,,,,,,,2,,73722294,61.40578328,,,79574847000,5.06E+13,,,,,,,,,,,,,,,,
2005,El Salvador,18752600000,,0.642,3.06E+11,2368100,,40,22,15,6005578,4.29476326,102600000,59592950060,65214341839,1.31E+12,25223428,,,-0.508673728,-0.447229236,-0.033760875,-0.505208492,-0.257205307,-0.075012773,1137577533,,,,,,71.5
1974,Bangladesh,3.01E+12,,,,,,,3,,75839348,44.5427169,,,52923243730,4.23E+13,,,,,,,,,,594568328,,,,,,
2004,El Salvador,18263000000,,0.636,3.05E+11,2336542,,30,22,18,6004671,2.717673382,121000000,,48338735281,1.27E+12,19214947,,,-0.480672061,-0.451769233,-0.069100976,-0.490908056,0.000375591,0.024640525,1042159664,,,,,,71.2
1975,Bangladesh,2.89E+12,,,,,,,,,77854351,80.5697564,,,22933739500,3.18E+13,,,,,,,,,,885804908,,,,,,
2003,El Salvador,18102000000,,0.628,3.2E+11,2376142,,19,20,7,5998599,2.965671413,109600000,56743796684,19299480553,1.24E+12,14996498,,,-0.416793615,-0.460299641,-0.180753872,-0.51685524,-0.24624534,0.107482292,1073831486,,,,,,71.5
1976,Bangladesh,3.05E+12,,,,,,,2,,79855318,-17.63041929,,,1.63E+11,6.83E+13,,,,,,,,,,1283386179,,,,,,
2002,El Salvador,17823000000,,0.621,3.13E+11,2301183,,15,20,14,5986631,1.510633012,79800000,57797138247,66145642168,1.17E+12,11374599,,,-0.81314522,-0.609856188,0.293994129,-0.566521049,-0.169806421,0.122130692,1306962653,,,,,,73
1977,Bangladesh,3.13E+12,,,,,,,2,,81867264,-3.210155929,,,2.26E+11,6.08E+13,,,,,,,,,,-578844311,,,,,,
2001,El Salvador,17547000000,,0.612,3.02E+11,2302106,,14,19,8,5968060,3.313631655,95500000,,39844045703,1.16E+12,8952090,,,,,,,,,1463733648,,,,,,73
1978,Bangladesh,3.35E+12,,,,,,,2,,83889655,25.61888559,,,1.94E+11,7.05E+13,,,,,,,,,,-454513714,,,,,,
2000,El Salvador,17394000000,,0.607,3.08E+11,2300761,,12,20,3,5943366,3.27263167,87900000,49376000424,25593025904,1.2E+12,7013172,,,-0.745444059,-0.62050283,0.329205334,-0.803453267,-0.017429935,-0.043113962,1428805582,,,,,,76.3
1979,Bangladesh,3.51E+12,,,,,,,3,,85935072,12.56450599,,3.97E+12,-1.81E+11,7.69E+13,,,,,,,,,,-867636042,,,,,,
1999,El Salvador,17200000000,,0.598,2.86E+11,2296264,,9,20,5,5913900,0.994105168,80200000,44076890469,32893434955,1.05E+12,4997246,,,,,,,,,1401276374,,,,,,75.1
1980,Bangladesh,3.54E+12,,,5.11E+13,,,,3,,88016432,17.55506709,,3.32E+12,1.66E+11,8.28E+13,,,34,,,,,,,-4572015654,,,,,,
1998,El Salvador,16836000000,,0.594,2.88E+11,2284553,,2,20,2,5880781,4.230095183,98343804,42885501539,1.7E+11,1.02E+12,2499332,1484598446,,-0.890717149,-0.611828744,0.090679064,-0.690760374,0.078462645,0.043139808,1225384983,,,,,,70.2
1981,Bangladesh,3.8E+12,,,6.52E+13,,,,3,,90303105,9.894690312,,4.07E+12,1.01E+11,7.31E+13,,,39,,,,,,,-10724001924,,,,,,
1997,El Salvador,16401000000,,0.586,2.73E+11,2174391,,1,,4,5844578,3.383808374,78344040,,9473693672,1.04E+12,1502057,,,,,,,,,820738045,,,,,,70.5
1982,Bangladesh,3.88E+12,,,6.74E+13,,,,4,,92814507,9.855812463,,3.93E+12,1.46E+11,8E+13,,,40,,,,,,,-10824885829,,,,,,
1996,El Salvador,15902000000,,0.576,2.59E+11,2149076,,0,20,4,5805286,6.581718611,89548829,,,8.79E+11,501577,,,-0.865277529,-0.691500306,-0.215370372,-0.870225966,-0.19300817,-0.102704912,622846991,,,,,,70.1
1983,Bangladesh,4.03E+12,,,6.67E+13,,,,5,,95335155,8.487755878,,4.16E+12,9245436590,8.19E+13,,,40,,,,,,,980893601,,,,,,
1995,El Salvador,15774000000,,0.567,3.01E+11,2164164,,0,21,,5762131,10.92903407,70705821,,6724979187,9.36E+11,,,3,,,,,,,534952174,,,,,,69.1
1984,Bangladesh,4.22E+12,,,6.96E+13,,,,5,,97814966,7.875566349,,5.16E+12,-12339815940,7.09E+13,,,62,,,,,,,-54697267,,,,,,
2025,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7
1985,Bangladesh,4.36E+12,,,6.9E+13,,,,5,,100253825,18.4951157,,5.54E+12,-1.3E+11,7.94E+13,,,40,,,,,,,-2765695215,,,,,,
2024,Equatorial Guinea,,,,,714966,,,,,,,,,,,,,,,,,,,,,,,36.70355056,,,47.7
1986,Bangladesh,4.55E+12,,,7.36E+13,,,,5,,102635572,8.254404894,,6.11E+12,50914186050,7.74E+13,,,16,,,,,,,-2055634074,,,,,,
2023,Equatorial Guinea,4.79E+12,,0.674,4.46E+13,699034,43.84186833,,,,1847549,-7.647520198,,,5.5E+12,2.94E+14,111591960,,,-1.570372701,-1.320349097,-0.235371336,-1.338686466,-1.474425912,-1.676851034,9.23E+11,,,37.28036996,,,48.3
1987,Bangladesh,4.72E+12,,,7.3E+13,,,,5,,104959291,11.11963117,,7.14E+12,62260226720,7.88E+13,,,23,,,,,,,3019264748,,,,,,
2022,Equatorial Guinea,5.04E+12,,0.677,3.82E+13,682922,36.59459564,53,,3,1803545,22.10040873,,,5.11E+13,4.12E+14,106950218,,,-1.601969361,-1.297055483,-0.236288592,-1.408267856,-1.493266106,-1.704315662,7.52E+11,,,35.61536879,,,47.2
1988,Bangladesh,4.83E+12,,,7.6E+13,,,,4,,107216008,7.495835297,,,33404980350,8.54E+13,,,24,,,,,,,9838460808,,,,,,
2021,Equatorial Guinea,4.89E+12,,0.671,3.94E+13,637834,19.90009018,50,,4,1758786,17.93863072,,,2.25E+13,3.76E+14,103240738,,,-1.587349534,-1.184058547,-0.202735513,-1.20275569,-1.732519746,-1.72473228,-1.91E+11,,,41.39713122,,,49.2
